
04/04/2022 11:58:28: ExecuteNonQuery: la proprietà Connection non è stata inizializzata.
04/04/2022 11:58:28: ESEGUITO, NESSUN MESSAGGIO
27/06/2023 14:56:26: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00488410010_ZVZrw.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT00488410010_ZVZrw.xml.pdf'><b>Apri</b></a> 
27/06/2023 14:56:39: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT07334940157_85gyZ.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT07334940157_85gyZ.xml.pdf'><b>Apri</b></a> 
27/06/2023 14:56:53: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT04839740489_GIQae.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT04839740489_GIQae.xml.pdf'><b>Apri</b></a> 
27/06/2023 14:57:07: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT0526289001423168_BIV8L.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT0526289001423168_BIV8L.xml.pdf'><b>Apri</b></a> 
27/06/2023 14:57:21: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT06628860964_9GgYo.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\IT06628860964_9GgYo.xml.pdf'><b>Apri</b></a> 
27/06/2023 14:57:40: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>NL10209790152_ChfZZ.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Utente\Documents\NL10209790152_ChfZZ.xml.pdf'><b>Apri</b></a> 
29/06/2023 13:20:51: ESEGUITO, NESSUN MESSAGGIO
29/06/2023 13:20:57: ESEGUITO, NESSUN MESSAGGIO
29/06/2023 13:20:59: Ricezione <b>XML fatture-fornitore</b>.: Non risultano fatture ricevute per cui sia assente il contenuto XML.
29/06/2023 13:21:09: ESEGUITO, NESSUN MESSAGGIO
